soil_C,soil_M,soil_S,pile_mat_comp,pile_mat_conc,pile_mat_steel,avg_N,open_ended,cross_area,circ,length,davisson
1,0,0,0,0,1,15,0,11.900923800000001,33.76593679,18.5,39.0
0,1,0,1,0,0,50,0,16.10298221,44.03177105,22.46,806.0
0,1,0,1,0,0,50,0,16.10298221,44.03177105,24.81,903.0
0,1,0,0,1,0,50,0,256.0,64.0,23.08,969.0
0,1,0,0,1,0,50,0,256.0,64.0,19.96,960.0
0,1,0,1,0,0,58,0,16.10298221,44.03177105,22.46,806.0
0,1,0,1,0,0,58,0,16.10298221,44.03177105,24.81,903.0
0,1,0,0,1,0,58,0,256.0,64.0,23.08,969.0
0,1,0,0,1,0,58,0,256.0,64.0,19.96,690.0
0,0,1,0,0,1,22,1,21.39004278,56.37795276,30.0,127.0
0,0,1,1,0,0,22,0,11.900923800000001,33.76593679,30.0,95.0
0,0,1,0,1,0,18,0,90.72933802,33.76593679,65.0,180.0
0,1,0,0,1,0,27,0,143.999938,48.03149606,56.25,244.0
0,1,0,0,1,0,27,0,143.999938,48.03149606,56.25,303.0
0,0,1,0,1,0,9,0,200.6663334,50.21600856,57.25,216.0
0,0,1,0,1,0,40,0,113.24580590000001,37.72384879,38.65,250.0
0,0,1,0,1,0,47,0,200.6663334,50.21600856,18.1,112.0
0,0,1,0,1,0,41,0,200.6663334,50.21600856,15.5,170.0
0,0,1,0,1,0,30,0,254.24642110000002,56.52393081,24.0,127.0
0,0,1,0,1,0,21,0,200.6663334,50.21600856,38.5,210.0
0,0,1,0,1,0,32,0,200.6663334,50.21600856,28.5,164.0
0,1,0,0,0,1,27,1,5.000310001,37.72384879,29.9,78.0
0,0,1,0,1,0,29,0,200.6663334,50.21600856,22.25,154.0
0,1,0,0,1,0,28,0,200.6663334,50.21600856,26.7,130.0
0,1,0,0,1,0,17,0,200.6663334,50.21600856,24.33,158.0
0,0,1,0,1,0,22,0,200.6663334,50.21600856,24.75,198.0
0,1,0,0,1,0,24,0,188.97958540000002,48.73179156,32.0,180.0
0,1,0,0,1,0,27,0,188.97958540000002,48.73179156,31.3,132.0
0,0,1,0,1,0,27,0,188.97958540000002,48.73179156,37.75,99.0
0,0,1,0,1,0,26,0,200.6663334,50.21600856,25.75,124.0
0,0,1,0,1,0,29,0,200.6663334,50.21600856,30.0,215.0
